epoch 0, time: 264.12
	train_loss: 8.585, score: 36.756
	eval loss: 4.389, score: 45.686 (92.661)
epoch 1, time: 319.14
	train_loss: 4.229, score: 47.646
	eval loss: 3.938, score: 51.053 (92.661)
epoch 2, time: 322.02
	train_loss: 3.875, score: 52.442
	eval loss: 3.748, score: 54.627 (92.661)
epoch 3, time: 324.01
	train_loss: 3.659, score: 55.660
	eval loss: 3.627, score: 56.703 (92.662)
epoch 4, time: 272.34
	train_loss: 3.501, score: 58.002
	eval loss: 3.546, score: 58.315 (92.661)
epoch 5, time: 271.66
	train_loss: 3.373, score: 59.990
	eval loss: 3.500, score: 59.732 (92.661)
epoch 6, time: 267.80
	train_loss: 3.266, score: 61.615
	eval loss: 3.453, score: 60.416 (92.661)
epoch 7, time: 267.43
	train_loss: 3.170, score: 63.136
	eval loss: 3.445, score: 61.162 (92.661)
epoch 8, time: 268.82
	train_loss: 3.085, score: 64.611
	eval loss: 3.410, score: 61.641 (92.661)
epoch 9, time: 267.94
	train_loss: 3.006, score: 65.804
	eval loss: 3.402, score: 62.040 (92.661)
epoch 10, time: 270.01
	train_loss: 2.936, score: 67.015
	eval loss: 3.396, score: 62.209 (92.661)
epoch 11, time: 270.33
	train_loss: 2.868, score: 68.086
	eval loss: 3.396, score: 62.441 (92.662)
epoch 12, time: 270.75
	train_loss: 2.805, score: 69.206
	eval loss: 3.403, score: 62.865 (92.661)
epoch 13, time: 271.35
	train_loss: 2.745, score: 70.154
	eval loss: 3.405, score: 62.930 (92.661)
epoch 14, time: 272.73
	train_loss: 2.689, score: 71.064
	eval loss: 3.420, score: 63.043 (92.661)
epoch 15, time: 276.80
	train_loss: 2.635, score: 72.080
	eval loss: 3.428, score: 63.195 (92.662)
epoch 16, time: 271.95
	train_loss: 2.583, score: 72.924
	eval loss: 3.453, score: 63.059 (92.661)
epoch 17, time: 270.24
	train_loss: 2.532, score: 73.822
	eval loss: 3.492, score: 63.435 (92.661)
epoch 18, time: 268.01
	train_loss: 2.485, score: 74.609
	eval loss: 3.484, score: 63.332 (92.662)
epoch 19, time: 269.70
	train_loss: 2.437, score: 75.397
	eval loss: 3.507, score: 63.480 (92.661)
epoch 20, time: 271.57
	train_loss: 2.394, score: 76.139
	eval loss: 3.541, score: 63.424 (92.661)
epoch 21, time: 275.34
	train_loss: 2.350, score: 76.837
	eval loss: 3.564, score: 63.313 (92.661)
epoch 22, time: 274.94
	train_loss: 2.308, score: 77.530
	eval loss: 3.608, score: 63.511 (92.661)
epoch 23, time: 271.99
	train_loss: 2.270, score: 78.203
	eval loss: 3.630, score: 63.381 (92.661)
epoch 24, time: 272.51
	train_loss: 2.233, score: 78.812
	eval loss: 3.638, score: 63.482 (92.661)
epoch 25, time: 272.44
	train_loss: 2.194, score: 79.387
	eval loss: 3.671, score: 63.490 (92.661)
epoch 26, time: 271.33
	train_loss: 2.156, score: 80.022
	eval loss: 3.688, score: 63.462 (92.661)
epoch 27, time: 271.50
	train_loss: 2.123, score: 80.479
	eval loss: 3.730, score: 63.429 (92.661)
epoch 28, time: 267.78
	train_loss: 2.089, score: 81.051
	eval loss: 3.756, score: 63.350 (92.661)
epoch 29, time: 270.75
	train_loss: 2.056, score: 81.587
	eval loss: 3.770, score: 63.357 (92.662)
epoch 30, time: 273.35
	train_loss: 2.027, score: 82.008
	eval loss: 3.807, score: 63.211 (92.661)
epoch 31, time: 270.33
	train_loss: 1.998, score: 82.381
	eval loss: 3.810, score: 63.283 (92.661)
epoch 32, time: 270.20
	train_loss: 1.968, score: 82.814
	eval loss: 3.898, score: 63.201 (92.661)
epoch 33, time: 268.82
	train_loss: 1.941, score: 83.244
	eval loss: 3.887, score: 63.283 (92.662)
epoch 34, time: 271.59
	train_loss: 1.914, score: 83.632
	eval loss: 3.875, score: 63.233 (92.661)
epoch 35, time: 270.17
	train_loss: 1.885, score: 83.985
	eval loss: 3.929, score: 63.271 (92.661)
epoch 36, time: 269.51
	train_loss: 1.860, score: 84.392
	eval loss: 3.958, score: 62.979 (92.661)
epoch 37, time: 269.61
	train_loss: 1.834, score: 84.682
	eval loss: 4.006, score: 63.055 (92.661)
epoch 38, time: 269.09
	train_loss: 1.814, score: 84.955
	eval loss: 4.009, score: 63.111 (92.662)
epoch 39, time: 268.03
	train_loss: 1.790, score: 85.233
	eval loss: 4.037, score: 63.098 (92.661)
epoch 40, time: 270.09
	train_loss: 1.767, score: 85.557
